Chidamber-Kemerer metrics,sexta, 3 dez 2021 16:27:51 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.DefaultEntryType,4,1,2,0,3,2
org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel,13,6,1,0,58,13
org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel,11,1,5,0,35,15
org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel,11,6,1,0,84,23
org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel,5,1,5,0,21,14
org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest,4,1,1,0,19,5
org.jabref.gui.commonfxcontrols.SortCriterionViewModel,7,1,1,0,11,4
org.jabref.gui.contentselector.ContentSelectorDialogView,9,3,1,0,45,13
org.jabref.gui.contentselector.ContentSelectorDialogViewModel,13,2,3,0,82,34
org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest,9,1,1,0,44,13
org.jabref.gui.contentselector.ManageContentSelectorAction,7,3,1,0,8,2
org.jabref.gui.copyfiles.CopyFilesAction,18,3,1,0,28,4
org.jabref.gui.copyfiles.CopyFilesDialogView,10,3,1,0,26,5
org.jabref.gui.copyfiles.CopyFilesDialogViewModel,4,2,1,0,6,2
org.jabref.gui.copyfiles.CopyFilesResultItemViewModel,8,1,3,0,11,6
org.jabref.gui.copyfiles.CopyFilesResultListDependency,4,1,1,0,5,4
org.jabref.gui.copyfiles.CopyFilesTask,10,3,1,0,39,11
org.jabref.gui.copyfiles.CopySingleFileAction,11,3,1,0,27,5
org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel,17,1,6,0,67,24
org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType,4,n/a,3,n/a,6,3
org.jabref.gui.customentrytypes.CustomEntryTypeViewModel,4,2,0,0,2,1
org.jabref.gui.customentrytypes.CustomizeEntryAction,8,3,1,0,10,2
org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView,25,3,2,0,122,20
org.jabref.gui.customentrytypes.EntryTypeViewModel,6,1,2,1,24,10
org.jabref.gui.customentrytypes.FieldViewModel,6,1,4,0,15,10
org.jabref.gui.desktop.JabRefDesktop,47,1,2,0,76,35
org.jabref.gui.desktop.os.DefaultDesktop,2,1,6,0,15,6
org.jabref.gui.desktop.os.Linux,7,1,5,0,43,16
org.jabref.gui.desktop.os.NativeDesktop,n/a,n/a,n/a,n/a,9,n/a
org.jabref.gui.desktop.os.OSX,4,1,5,0,18,8
org.jabref.gui.desktop.os.Windows,4,1,5,0,22,14
org.jabref.gui.dialogs.AutosaveUiManager,6,1,1,0,6,2
org.jabref.gui.dialogs.BackupUIManager,6,1,1,0,11,3
org.jabref.gui.documentviewer.DocumentPageViewModel,5,1,3,1,3,0
org.jabref.gui.documentviewer.DocumentViewModel,5,1,2,1,5,2
org.jabref.gui.documentviewer.DocumentViewerControl,6,6,1,0,53,18
org.jabref.gui.documentviewer.DocumentViewerControl.DocumentViewerPage,5,1,2,0,38,9
org.jabref.gui.documentviewer.DocumentViewerView,13,3,1,0,69,16
org.jabref.gui.documentviewer.DocumentViewerViewModel,9,2,5,0,45,19
org.jabref.gui.documentviewer.PageDimension,4,1,4,2,8,4
org.jabref.gui.documentviewer.PageDimension.FixedHeightPageDimension,1,2,1,0,3,3
org.jabref.gui.documentviewer.PageDimension.FixedWidthPageDimension,1,2,1,0,3,3
org.jabref.gui.documentviewer.PdfDocumentPageViewModel,2,2,2,0,17,5
org.jabref.gui.documentviewer.PdfDocumentViewModel,5,2,1,0,14,3
org.jabref.gui.documentviewer.PdfDocumentViewModelTest,1,1,1,0,12,1
org.jabref.gui.documentviewer.ShowDocumentViewerAction,7,3,1,0,9,2
org.jabref.gui.duplicationFinder.DuplicateResolverDialog,14,3,1,0,39,14
org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverResult,4,n/a,2,n/a,2,0
org.jabref.gui.duplicationFinder.DuplicateResolverDialog.DuplicateResolverType,4,n/a,2,n/a,2,0
org.jabref.gui.duplicationFinder.DuplicateSearch,24,3,1,0,75,25
org.jabref.gui.duplicationFinder.DuplicateSearch.DuplicateSearchResult,2,1,1,0,14,6
org.jabref.gui.edit.CopyDoiUrlAction,9,3,1,0,13,3
org.jabref.gui.edit.CopyMoreAction,21,3,1,0,56,26
org.jabref.gui.edit.CopyMoreActionTest,13,1,1,0,43,11
org.jabref.gui.edit.EditAction,8,3,1,0,26,6
org.jabref.gui.edit.ManageKeywordsAction,8,3,1,0,13,2
org.jabref.gui.edit.ManageKeywordsDialog,11,3,1,0,37,4
org.jabref.gui.edit.ManageKeywordsDisplayType,2,n/a,2,n/a,2,0
org.jabref.gui.edit.ManageKeywordsViewModel,11,1,2,0,37,19
org.jabref.gui.edit.ManageKeywordsViewModelTest,5,1,1,0,18,3
org.jabref.gui.edit.MassSetFieldsAction,7,3,1,0,12,2
org.jabref.gui.edit.MassSetFieldsDialog,13,3,1,0,68,19
org.jabref.gui.edit.OpenBrowserAction,3,3,1,0,3,2
org.jabref.gui.edit.ReplaceStringAction,6,3,1,0,8,2
org.jabref.gui.edit.ReplaceStringView,7,3,1,0,27,4
org.jabref.gui.edit.ReplaceStringViewModel,11,2,1,0,34,17
org.jabref.gui.edit.ReplaceStringViewModelTest,6,1,1,0,23,2
org.jabref.gui.entryeditor.DeprecatedFieldsTab,17,4,1,0,16,3
org.jabref.gui.entryeditor.EntryEditor,47,6,1,0,125,38
org.jabref.gui.entryeditor.EntryEditorPreferences,12,1,9,0,38,28
org.jabref.gui.entryeditor.EntryEditorTab,12,2,4,8,9,5
org.jabref.gui.entryeditor.FieldsEditorTab,23,3,1,5,76,25
org.jabref.gui.entryeditor.LatexCitationsTab,13,3,1,0,57,12
org.jabref.gui.entryeditor.LatexCitationsTabViewModel,18,2,1,0,71,17
org.jabref.gui.entryeditor.LatexCitationsTabViewModel.Status,2,n/a,2,n/a,2,0
org.jabref.gui.entryeditor.MathSciNetTab,6,3,1,0,28,6
org.jabref.gui.entryeditor.OpenEntryEditorAction,5,3,1,0,9,3
org.jabref.gui.entryeditor.OptionalFields2Tab,12,5,0,0,3,1
org.jabref.gui.entryeditor.OptionalFieldsTab,12,5,0,0,3,1
org.jabref.gui.entryeditor.OptionalFieldsTabBase,18,4,1,2,17,4
org.jabref.gui.entryeditor.OtherFieldsTab,19,4,1,0,29,3
org.jabref.gui.entryeditor.PreviewSwitchAction,7,3,1,0,8,3
org.jabref.gui.entryeditor.PreviewSwitchAction.Direction,2,n/a,2,n/a,2,0
org.jabref.gui.entryeditor.PreviewTab,13,3,1,0,17,8
org.jabref.gui.entryeditor.RelatedArticlesTab,17,3,1,0,78,10
org.jabref.gui.entryeditor.RequiredFieldsTab,19,4,1,0,19,4
org.jabref.gui.entryeditor.SourceTab,36,3,2,0,121,28
org.jabref.gui.entryeditor.SourceTab.EditAction,3,3,1,0,7,2
org.jabref.gui.entryeditor.SourceTab.InputMethodRequestsObject,1,1,4,0,5,4
org.jabref.gui.entryeditor.SourceTabTest,15,1,1,0,33,2
org.jabref.gui.entryeditor.UserDefinedFieldsTab,15,4,1,0,7,2
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTab,7,3,2,0,14,3
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabView,8,1,2,0,56,4
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabViewModel,13,2,3,0,46,11
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationViewModel,8,1,4,0,34,20
org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationViewModelTest,3,1,1,0,19,6
org.jabref.gui.entryeditor.fileannotationtab.FulltextSearchResultsTab,22,3,1,0,86,18
org.jabref.gui.errorconsole.ErrorConsoleView,14,3,1,0,35,11
org.jabref.gui.errorconsole.ErrorConsoleViewModel,10,2,2,0,35,8
org.jabref.gui.errorconsole.LogEventViewModel,6,1,1,0,15,12
org.jabref.gui.exporter.CreateModifyExporterDialogView,8,3,1,0,17,4
org.jabref.gui.exporter.CreateModifyExporterDialogViewModel,14,2,1,0,36,9
org.jabref.gui.exporter.ExportCommand,25,3,1,0,62,6
org.jabref.gui.exporter.ExportToClipboardAction,22,3,1,0,64,12
org.jabref.gui.exporter.ExportToClipboardAction.ExportResult,2,1,0,0,1,1
org.jabref.gui.exporter.ExportToClipboardActionTest,25,1,1,0,39,4
org.jabref.gui.exporter.ExporterViewModel,7,1,4,0,12,5
org.jabref.gui.exporter.SaveAction,8,3,1,0,10,3
org.jabref.gui.exporter.SaveAction.SaveMethod,2,n/a,2,n/a,2,0
org.jabref.gui.exporter.SaveAllAction,8,3,1,0,8,4
org.jabref.gui.exporter.SaveDatabaseAction,35,1,1,0,106,31
org.jabref.gui.exporter.SaveDatabaseAction.SaveDatabaseMode,3,n/a,2,n/a,2,0
org.jabref.gui.exporter.SaveDatabaseActionTest,22,1,1,0,68,7
org.jabref.gui.exporter.WriteMetadataToPdfAction,23,3,1,0,47,17
org.jabref.gui.exporter.WriteMetadataToPdfAction.OptionsDialog,3,4,2,0,35,7
org.jabref.gui.externalfiles.AutoLinkFilesAction,15,3,1,0,21,7
org.jabref.gui.externalfiles.AutoSetFileLinksUtil,22,1,1,0,38,11
org.jabref.gui.externalfiles.AutoSetFileLinksUtil.LinkFilesResult,3,1,2,0,6,4
org.jabref.gui.externalfiles.AutoSetFileLinksUtilTest,10,1,1,0,25,3
org.jabref.gui.externalfiles.DateRange,5,n/a,3,n/a,5,2
org.jabref.gui.externalfiles.DownloadFullTextAction,15,3,1,0,38,14
org.jabref.gui.externalfiles.ExternalFileSorter,5,n/a,3,n/a,5,2
org.jabref.gui.externalfiles.ExternalFilesEntryLinker,14,1,1,0,30,11
org.jabref.gui.externalfiles.FileDownloadTask,4,2,1,0,12,2
org.jabref.gui.externalfiles.FileExtensionViewModel,8,1,1,0,15,4
org.jabref.gui.externalfiles.FileFilterUtils,5,1,1,0,29,9
org.jabref.gui.externalfiles.FileFilterUtilsTest,2,1,1,0,16,8
org.jabref.gui.externalfiles.FileFilterUtilsTest.SortingTests,2,1,1,0,20,5
org.jabref.gui.externalfiles.FindUnlinkedFilesAction,6,3,1,0,6,2
org.jabref.gui.externalfiles.ImportFilesResultItemViewModel,6,1,3,0,12,6
org.jabref.gui.externalfiles.ImportHandler,30,1,1,0,39,20
org.jabref.gui.externalfiles.UnlinkedFilesCrawler,9,2,1,0,33,8
org.jabref.gui.externalfiles.UnlinkedFilesDialogView,24,3,2,0,111,16
org.jabref.gui.externalfiles.UnlinkedFilesDialogView.SearchContextAction,3,3,1,0,10,2
org.jabref.gui.externalfiles.UnlinkedFilesDialogViewModel,22,1,5,0,97,29
org.jabref.gui.externalfiles.UnlinkedPDFFileFilter,4,1,1,0,6,3
org.jabref.gui.externalfiletype.CustomExternalFileType,9,1,2,0,30,28
org.jabref.gui.externalfiletype.CustomizeExternalFileTypesDialog,10,3,1,0,35,5
org.jabref.gui.externalfiletype.CustomizeExternalFileTypesViewModel,9,1,1,0,26,9
org.jabref.gui.externalfiletype.EditExternalFileTypeEntryDialog,9,3,1,0,33,4
org.jabref.gui.externalfiletype.EditExternalFileTypeViewModel,3,1,3,0,29,12
org.jabref.gui.externalfiletype.EditExternalFileTypesAction,4,3,1,0,4,1
org.jabref.gui.externalfiletype.ExternalFileType,n/a,n/a,n/a,n/a,7,n/a
org.jabref.gui.externalfiletype.ExternalFileTypes,62,1,3,0,65,41
org.jabref.gui.externalfiletype.StandardExternalFileType,8,n/a,7,n/a,9,6
org.jabref.gui.externalfiletype.UnknownExternalFileType,9,1,5,0,7,7
org.jabref.gui.fieldeditors.AbstractEditorViewModel,32,2,3,11,26,8
org.jabref.gui.fieldeditors.CitationKeyEditor,15,6,2,0,21,4
org.jabref.gui.fieldeditors.CitationKeyEditorViewModel,9,3,1,0,4,2
org.jabref.gui.fieldeditors.ContextMenuAddable,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.fieldeditors.DateEditor,9,6,2,0,15,4
org.jabref.gui.fieldeditors.DateEditorViewModel,7,3,1,0,4,6
org.jabref.gui.fieldeditors.EditorTextArea,11,7,3,0,21,6
org.jabref.gui.fieldeditors.EditorTextArea.PasteActionHandler,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.fieldeditors.EditorTextField,9,7,2,0,17,4
org.jabref.gui.fieldeditors.EditorTypeEditorViewModel,6,5,2,0,7,3
org.jabref.gui.fieldeditors.EditorValidator,10,1,1,0,8,3
org.jabref.gui.fieldeditors.FieldEditorFX,n/a,n/a,n/a,n/a,11,n/a
org.jabref.gui.fieldeditors.FieldEditors,43,1,1,0,44,22
org.jabref.gui.fieldeditors.FieldNameLabel,7,7,1,0,18,98
org.jabref.gui.fieldeditors.GenderEditorViewModel,6,5,2,0,7,3
org.jabref.gui.fieldeditors.IdentifierEditor,17,6,2,0,32,8
org.jabref.gui.fieldeditors.IdentifierEditorViewModel,23,3,3,0,49,13
org.jabref.gui.fieldeditors.IdentifierEditorViewModelTest,7,1,1,0,7,2
org.jabref.gui.fieldeditors.JournalEditor,14,6,2,0,21,5
org.jabref.gui.fieldeditors.JournalEditorViewModel,7,3,1,0,11,5
org.jabref.gui.fieldeditors.KeywordsEditor,7,7,1,0,3,2
org.jabref.gui.fieldeditors.LinkedEntriesEditor,11,6,2,0,29,4
org.jabref.gui.fieldeditors.LinkedEntriesEditorViewModel,9,3,3,0,11,7
org.jabref.gui.fieldeditors.LinkedFileViewModel,53,2,3,0,188,68
org.jabref.gui.fieldeditors.LinkedFileViewModelTest,16,1,1,0,83,19
org.jabref.gui.fieldeditors.LinkedFilesEditor,28,6,5,0,113,25
org.jabref.gui.fieldeditors.LinkedFilesEditor.ContextAction,9,3,1,0,26,2
org.jabref.gui.fieldeditors.LinkedFilesEditorViewModel,29,3,2,0,79,22
org.jabref.gui.fieldeditors.MapBasedEditorViewModel,10,4,1,6,13,8
org.jabref.gui.fieldeditors.MonthEditorViewModel,8,4,3,0,9,9
org.jabref.gui.fieldeditors.OptionEditor,9,6,2,0,25,4
